Discrepancy in contain: arg=73436, expected=true, actual=false, timestamp=36638542010200
Discrepancy in contain: arg=37634, expected=false, actual=true, timestamp=36638554933171
Measurement time: 346098450
Measurement discrepancy: 4
Discrepancy in contain: arg=54104, expected=false, actual=true, timestamp=36639003288568
Discrepancy in contain: arg=14199, expected=false, actual=true, timestamp=36639051999857
Discrepancy in contain: arg=37793, expected=false, actual=true, timestamp=36639086214877
Discrepancy in contain: arg=8740, expected=false, actual=true, timestamp=36639126242959
Measurement time: 373881477
Measurement discrepancy: 4
Discrepancy in contain: arg=46609, expected=false, actual=true, timestamp=36639676800269
Discrepancy in contain: arg=410, expected=true, actual=false, timestamp=36639766999934
Discrepancy in contain: arg=27162, expected=true, actual=false, timestamp=36639906999943
Measurement time: 416544837
Measurement discrepancy: 3
Discrepancy in contain: arg=4499, expected=false, actual=true, timestamp=36640525801677
Measurement time: 372601881
Measurement discrepancy: 1
Discrepancy found in add: arg=85542, expected=false, actual=true, timestamp=36641113194583
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641137659763
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641138632765
Discrepancy in contain: arg=85542, expected=false, actual=true, timestamp=36641139023644
Discrepancy found in remove: arg=85542, expected=false, actual=true, timestamp=36641157313296
Discrepancy in contain: arg=83911, expected=true, actual=false, timestamp=36641248888254
Measurement time: 378692561
Measurement discrepancy: 6
48 ----------------------------------------------
Discrepancy found in remove: arg=74857, expected=false, actual=true, timestamp=36642156016629
Discrepancy found in add: arg=74857, expected=false, actual=true, timestamp=36642159801259
Discrepancy in contain: arg=53300, expected=false, actual=true, timestamp=36642177223962
Discrepancy in contain: arg=20731, expected=false, actual=true, timestamp=36642186428098
Discrepancy in contain: arg=98462, expected=false, actual=true, timestamp=36642266999785
Discrepancy in contain: arg=55225, expected=true, actual=false, timestamp=36642496232091
Discrepancy found in add: arg=55225, expected=false, actual=true, timestamp=36642497777988
Discrepancy in contain: arg=55225, expected=false, actual=true, timestamp=36642520720520
Discrepancy found in remove: arg=55225, expected=false, actual=true, timestamp=36642553258470
Warmup time: 806661055
Warmup discrepancy: 9
Discrepancy in contain: arg=55696, expected=true, actual=false, timestamp=36643367999970
Discrepancy in contain: arg=73220, expected=false, actual=true, timestamp=36643381539103
Discrepancy in contain: arg=36046, expected=false, actual=true, timestamp=36643386126581
Discrepancy in contain: arg=36046, expected=false, actual=true, timestamp=36643386281299
Discrepancy in contain: arg=25051, expected=true, actual=false, timestamp=36643445999815
Discrepancy found in add: arg=15011, expected=true, actual=false, timestamp=36643479158428
Discrepancy found in add: arg=15011, expected=false, actual=true, timestamp=36643486008268
Discrepancy in contain: arg=60075, expected=false, actual=true, timestamp=36643502906691
Discrepancy in contain: arg=36444, expected=true, actual=false, timestamp=36643518008467
Discrepancy in contain: arg=2433, expected=true, actual=false, timestamp=36643653010847
Warmup time: 579396655
Warmup discrepancy: 10
Discrepancy in contain: arg=80764, expected=true, actual=false, timestamp=36644431999969
Discrepancy in contain: arg=10983, expected=true, actual=false, timestamp=36644454010004
Discrepancy in contain: arg=14921, expected=false, actual=true, timestamp=36644467272279
Discrepancy in contain: arg=67930, expected=false, actual=true, timestamp=36644525999946
Discrepancy in contain: arg=77268, expected=true, actual=false, timestamp=36644635937483
Discrepancy found in add: arg=77268, expected=false, actual=true, timestamp=36644639544396
Discrepancy found in add: arg=48410, expected=true, actual=false, timestamp=36644647552720
Discrepancy found in add: arg=48410, expected=false, actual=true, timestamp=36644647552875
Discrepancy found in add: arg=77268, expected=true, actual=false, timestamp=36644647998486
Warmup time: 535118050
Warmup discrepancy: 9
Discrepancy in contain: arg=76336, expected=false, actual=true, timestamp=36645369283330
Discrepancy in contain: arg=37830, expected=false, actual=true, timestamp=36645532475799
Discrepancy in contain: arg=80774, expected=false, actual=true, timestamp=36645537999943
Discrepancy in contain: arg=22888, expected=true, actual=false, timestamp=36645586999942
Discrepancy found in remove: arg=49280, expected=true, actual=false, timestamp=36645680025896
Discrepancy found in add: arg=49280, expected=true, actual=false, timestamp=36645680683783
Warmup time: 542502532
Warmup discrepancy: 6
Discrepancy in contain: arg=40365, expected=true, actual=false, timestamp=36646393999944
Discrepancy in contain: arg=8422, expected=false, actual=true, timestamp=36646403994063
Discrepancy in contain: arg=8422, expected=false, actual=true, timestamp=36646404982194
Discrepancy in contain: arg=95480, expected=true, actual=false, timestamp=36646413010064
Discrepancy in contain: arg=60849, expected=false, actual=true, timestamp=36646536714932
Discrepancy in contain: arg=90071, expected=false, actual=true, timestamp=36646685999981
Warmup time: 590006955
Warmup discrepancy: 6
Discrepancy in contain: arg=73418, expected=false, actual=true, timestamp=36647464275497
Discrepancy in contain: arg=51994, expected=false, actual=true, timestamp=36647491867348
Discrepancy in contain: arg=91401, expected=false, actual=true, timestamp=36647495459216
Discrepancy in contain: arg=91401, expected=false, actual=true, timestamp=36647495509641
Discrepancy in contain: arg=33479, expected=true, actual=false, timestamp=36647514015759
Discrepancy found in remove: arg=28603, expected=true, actual=false, timestamp=36647725009659
Discrepancy in contain: arg=28603, expected=false, actual=true, timestamp=36647759343291
Discrepancy found in remove: arg=28603, expected=false, actual=true, timestamp=36647768928771
Measurement time: 537772918
Measurement discrepancy: 8
Discrepancy in contain: arg=96200, expected=false, actual=true, timestamp=36648475182887
Discrepancy in contain: arg=39421, expected=false, actual=true, timestamp=36648588284426
Discrepancy in contain: arg=23058, expected=false, actual=true, timestamp=36648590711123
